,medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_borough,dropoff_borough,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount
423993,C8F496469CB4CF297EF756F5229C542F,FE090DBA059FB840018F23BF4138D509,CMT,1,N,2013-01-01 14:37:19,2013-01-01 14:45:40,1,500,2.2,-73.987465,40.743435,-73.975601,40.719048,manhattan,brooklyn,CRD,9.5,0.0,0.5,3.0,0.0,13.0
425178,45886CDFD76DF25E0ACA5E3ED611C68E,9AFDE29988BFCEBEF77CB341AF90C159,CMT,1,N,2013-01-01 11:49:23,2013-01-01 11:55:59,1,395,1.5,-73.982689,40.745361,-73.993721,40.759686,manhattan,manhattan,CRD,7.5,0.0,0.5,1.6,0.0,9.6
429512,7B75A4AB3E535F48D4C0429851C4FC0A,032A6DB9395CDD22DC6BAEDD78E9B587,CMT,1,N,2013-01-01 11:46:28,2013-01-01 11:58:28,1,719,7.2,-73.975418,40.745358,-73.853264,40.727226,manhattan,queens,CRD,21.5,0.0,0.5,3.0,4.8,29.8
445230,16E628A73C16A85ED26C16B195508888,D632CB4C89E5F9AFF93760DE91416CB4,CMT,1,N,2013-01-01 16:10:00,2013-01-01 16:29:34,1,1174,13.0,-73.831413,40.763325,-73.993713,40.695969,bronx,brooklyn,CRD,36.0,0.0,0.5,5.08,0.0,41.58
446947,BCAA9426D17BC7C96B204F9C75CC99C9,62941603B49E677CDABAFF04AD2269EA,CMT,1,N,2013-01-01 15:25:10,2013-01-01 15:38:03,1,772,5.4,0.0,0.0,0.0,0.0,outside_nyc,outside_nyc,CRD,17.5,0.0,0.5,1.0,0.0,19.0
447329,03F0BC52B15106BF8B9054543FFAB548,2AD2AD0134AE6BBD662F1425547796C9,CMT,1,N,2013-01-01 15:35:20,2013-01-01 15:40:50,1,329,1.1,-74.00293,40.729614,-74.010239,40.718174,manhattan,brooklyn,CRD,6.0,0.0,0.5,1.0,0.0,7.5
450108,59D75B2BAF32E53A65D3E69A666C9AC6,F045960F718390DF8DF790E9B3353B27,CMT,1,N,2013-01-01 17:58:13,2013-01-01 18:07:55,4,581,2.7,-74.001556,40.730824,-73.985352,40.763748,manhattan,manhattan,CRD,10.5,0.0,0.5,1.5,0.0,12.5
450146,06ECEA897237B26A833D402DB247040C,CCE4077C1F8A4D4D74278E892AF52002,CMT,1,N,2013-01-01 16:00:58,2013-01-01 16:27:06,1,1567,13.0,-73.885361,40.77309,-74.004112,40.737549,manhattan,manhattan,CRD,38.0,0.0,0.5,12.99,4.8,56.29
452366,03BF54085C92C385889B957D804780D1,5B978BC46ADC710ABBC3AEB9C0E8A0C6,CMT,1,N,2013-01-01 13:04:28,2013-01-01 13:09:14,1,286,1.1,-73.972282,40.76059,-73.957413,40.766712,manhattan,manhattan,CRD,6.0,0.0,0.5,3.0,0.0,9.5
452587,11255D0D604A3A006072C57DE81D7ED2,F554ED01B1DA0828B956446E40231C46,CMT,1,N,2013-01-01 18:02:21,2013-01-01 18:08:13,3,352,1.3,-73.984299,40.739975,-73.983513,40.726143,manhattan,manhattan,CRD,6.5,0.0,0.5,1.75,0.0,8.75
452734,991B2E3F85ABD629531D64B3015B61CB,4C3C129CC483343160054E059C633F19,CMT,1,N,2013-01-01 03:47:30,2013-01-01 03:56:13,1,522,1.1,-73.99704,40.712193,-73.991142,40.725269,brooklyn,manhattan,CRD,7.5,0.5,0.5,1.7,0.0,10.2
456611,7D86872E7E9D5997595E6CEBBD6D6900,29DC0787F12D6E5B0F9F211C80D0FBDA,CMT,1,N,2013-01-01 15:12:33,2013-01-01 15:35:13,1,1360,5.0,-73.925873,40.744217,-73.995102,40.743778,manhattan,manhattan,CRD,20.0,0.0,0.5,4.1,0.0,24.6
458242,8F9B593AE29F10B40EBEA0BBDEDD249F,5538249E9214D979C14FF37DCADB0873,CMT,1,N,2013-01-01 06:21:08,2013-01-01 06:25:16,2,247,1.1,-73.973236,40.755241,-73.987442,40.749729,manhattan,manhattan,CRD,5.5,0.0,0.5,1.0,0.0,7.0
458280,14694F1FB63AF88A9D98B999F35C6623,7E1A596E9E3C5DC9DAA588855D675789,CMT,1,N,2013-01-01 14:08:42,2013-01-01 14:15:05,1,382,1.1,-73.979637,40.753105,-73.984901,40.763939,manhattan,manhattan,CRD,6.5,0.0,0.5,1.25,0.0,8.25
461768,A2B53A64004799B6FFC7F0FF2785AB73,6CAF24A4B686FAD96B6220EF0A11181B,CMT,1,N,2013-01-01 14:19:58,2013-01-01 14:33:41,2,823,2.9,-73.977287,40.751026,-73.94606,40.773727,manhattan,manhattan,CRD,12.5,0.0,0.5,2.6,0.0,15.6
462464,8906D5C02DB6E4662AB7388E67E5466B,A666087C0A0ADBA9BCE758231C38A1A8,CMT,2,N,2013-01-01 20:28:48,2013-01-01 20:56:30,2,1662,19.1,-73.791061,40.661839,-73.973633,40.779457,queens,manhattan,CRD,52.0,0.0,0.5,5.0,4.8,62.3
462537,DB0D656FD074AC9E5B039E9A5A17F408,13C91816AF95F6514447B72559BEA179,CMT,1,N,2013-01-01 20:53:12,2013-01-01 21:05:41,2,749,2.9,-73.965286,40.761929,-73.990944,40.728516,manhattan,manhattan,CRD,12.0,0.5,0.5,3.25,0.0,16.25
462942,59E84496F5876AB7AA8BFD3C3CAD6DE3,CB4FE391F364C88AE85A2C16D59E08D8,CMT,1,N,2013-01-01 21:28:46,2013-01-01 21:40:09,2,682,4.1,-73.999062,40.73938,-73.953636,40.770275,manhattan,manhattan,CRD,13.5,0.5,0.5,1.0,0.0,15.5
464242,A2AEC88420F7268722B02A3D84D62CA7,7DEB8806DE87A4007A997A865C1673C4,CMT,1,N,2013-01-01 11:43:21,2013-01-01 12:03:21,1,1199,4.2,-73.974548,40.756454,-73.976112,40.754684,manhattan,manhattan,CRD,18.0,0.0,0.5,3.7,0.0,22.2
464352,607F4A1C62C812504DA52636800E2AAB,463F5CDE11E23D52C9597B159EFC39B5,CMT,1,N,2013-01-01 12:09:22,2013-01-01 12:33:43,1,1460,6.5,-74.000687,40.746338,-73.95137,40.723679,manhattan,manhattan,CRD,22.5,0.0,0.5,0.0,4.8,27.8
464426,BA0C6C622DAAF1EDF04C19EBDB1E997C,2505C2EFB5E8BCAF1988F4D6624BE795,CMT,1,N,2013-01-01 13:05:22,2013-01-01 13:12:11,2,407,1.9,-73.957291,40.770454,-73.97641,40.751575,manhattan,manhattan,CRD,8.0,0.0,0.5,1.7,0.0,10.2
465048,294134BC853AC59B821B01C602249488,CFA318CD69C8E611363936586BC1A18D,CMT,1,N,2013-01-01 23:31:06,2013-01-01 23:36:02,1,295,1.1,-74.001572,40.727673,-73.994347,40.743622,manhattan,manhattan,CRD,6.0,0.5,0.5,1.4,0.0,8.4
465214,C3E7F827F0CF5A5B9162DC0A6D2E726C,CE625FD96D0FAFC812A6957139B354A1,CMT,1,N,2013-01-01 14:26:22,2013-01-01 15:01:02,1,2080,18.8,-73.953613,40.775326,-73.906029,40.693916,manhattan,brooklyn,CRD,53.0,0.0,0.5,1.0,4.8,59.3
465892,82B5B1F467D680FBF7D148404AB63107,6D8BFEC69475F08E2E66EA3E59EBF873,CMT,1,N,2013-01-01 12:12:23,2013-01-01 12:19:35,1,431,2.1,0.0,0.0,0.0,0.0,outside_nyc,outside_nyc,CRD,9.0,0.0,0.5,3.33,0.0,12.83
